Ingredient,Trade_Name(s),Applicant(s),NDA_Count,ANDA_Count,NDA_Appl_Nos,ANDA_Appl_Nos,DF_Route(s),TE_Code(s),Earliest_Approval,Latest_Approval,RLD_Count,Generic_Competitor_Count,Disease_Category,Duration_Class,Patent_Count,Latest_Patent_Expiry,Patent_Expiry_Year,Exclusivity_Codes,Latest_Exclusivity_Date,Has_Blocking_Exclusivity
AZATHIOPRINE,AZASAN | AZATHIOPRINE | IMURAN,AAIPHARMA LLC | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS LLC | LEGACY PHARMA INC | RISING PHARMA HOLDINGS INC | ZYDUS PHARMACEUTICALS USA INC,1,5,016324,074069 | 075252 | 075568 | 077621 | 208687,TABLET;ORAL,AB,1996-02-16,2021-11-02,1,16,Autoimmune,CHRONIC,0,,,,,No
AZATHIOPRINE SODIUM,AZATHIOPRINE SODIUM,HIKMA PHARMACEUTICALS USA INC,0,1,,074419,INJECTABLE;INJECTION,,1995-03-31,1995-03-31,0,1,Autoimmune,CHRONIC,0,,,,,No
AZELAIC ACID,AZELAIC ACID | AZELEX | FINACEA,ACTAVIS LABORATORIES UT INC | ALMIRALL LLC | ENCUBE ETHICALS PRIVATE LTD | GLENMARK SPECIALTY SA | LEO PHARMA AS | SUN PHARMA CANADA INC,3,4,020428 | 021470 | 207071,204637 | 208011 | 208724 | 210549,"AEROSOL, FOAM;TOPICAL | CREAM;TOPICAL | GEL;TOPICAL",AB,1995-09-13,2019-08-23,3,4,Other/Unclassified,OTHER,4,2029-02-28,2029,,,No
AZELASTINE HYDROCHLORIDE,ASTEPRO ALLERGY | AZELASTINE HYDROCHLORIDE | AZELASTINE HYDROCHLORIDE ALLERGY | AZELASTINE HYDROCHLORIDE CHILDREN'S ALLERGY | CHILDREN'S ASTEPRO ALLERGY,ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS LLC | APOTEX INC | AUROBINDO PHARMA LTD | BAYER HEALTHCARE CONSUMER CARE | EPIC PHARMA LLC | GLAND PHARMA LTD | SANDOZ INC | SOMERSET THERAPEUTICS LLC | ZYDUS PHARMACEUTICALS USA INC,1,13,213872,077954 | 078621 | 091409 | 202305 | 204660 | 207411 | 207610 | 208156 | 209620 | 210092 | 212289 | 216421 | 216561,"SOLUTION/DROPS;OPHTHALMIC | SPRAY, METERED;NASAL",AB | AT,2009-04-30,2025-01-27,2,14,Respiratory,PERIODIC,1,2028-06-04,2028,,,No
AZELASTINE HYDROCHLORIDE; FLUTICASONE PROPIONATE,AZELASTINE HYDROCHLORIDE AND FLUTICASONE PROPIONATE | DYMISTA,APOTEX INC | MYLAN SPECIALTY LP | PADAGIS ISRAEL PHARMACEUTICALS LTD | TEVA PHARMACEUTICALS USA INC,1,3,202236,207712 | 208111 | 208436,"SPRAY, METERED;NASAL",AB,2012-05-01,2025-04-08,1,3,Respiratory,PERIODIC,2,2026-08-24,2026,,,No
AZILSARTAN KAMEDOXOMIL,AZILSARTAN MEDOXOMIL | EDARBI,AZURITY PHARMACEUTICALS INC | LUPIN LTD,1,1,200796,214489,TABLET;ORAL,AB,2011-02-25,2022-07-20,2,2,Cardiovascular,CHRONIC,1,2028-03-26,2028,,,No
AZILSARTAN KAMEDOXOMIL; CHLORTHALIDONE,AZILSARTAN MEDOXOMIL AND CHLORTHALIDONE | EDARBYCLOR,ALKEM LABORATORIES LTD | AZURITY PHARMACEUTICALS INC,1,1,202331,217490,TABLET;ORAL,AB,2011-12-20,2025-01-21,2,2,Cardiovascular,CHRONIC,3,2031-07-01,2031,,,No
AZITHROMYCIN,AZASITE | AZITHROMYCIN | ZITHROMAX,ALEMBIC PHARMACEUTICALS LTD | AUROBINDO PHARMA LTD | BIONPHARMA INC | CARLSBAD TECHNOLOGY INC | CHARTWELL RX SCIENCES LLC | CSPC OUYI PHARMACEUTICAL CO LTD | EPIC PHARMA LLC | EUGIA PHARMA SPECIALITIES LTD | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | HOSPIRA INC | LUPIN LTD | PFIZER CHEMICALS DIV PFIZER INC | PFIZER INC | PLIVA INC | SANDOZ INC | SLATE RUN PHARMACEUTICALS LLC | STRIDES PHARMA GLOBAL PTE LTD | SUNSHINE LAKE PHARMA CO LTD | TEVA PHARMACEUTICALS USA INC | THEA PHARMA INC | ZHEJIANG POLY PHARM CO LTD | ZYDUS LIFESCIENCES GLOBAL FZE,5,41,050710 | 050711 | 050733 | 050784 | 050810,065179 | 065193 | 065209 | 065211 | 065212 | 065218 | 065223 | 065225 | 065246 | 065302 | 065398 | 065399 | 065400 | 065404 | 065405 | 065488 | 065500 | 065501 | 203294 | 203412 | 207370 | 207398 | 207531 | 207566 | 208249 | 208250 | 209043 | 209044 | 209045 | 209201 | 209999 | 210000 | 210001 | 211068 | 211147 | 211791 | 211792 | 211793 | 215772 | 215773 | 217036,FOR SUSPENSION;ORAL | INJECTABLE;INJECTION | SOLUTION/DROPS;OPHTHALMIC | TABLET;ORAL,AB | AP,1995-10-19,2023-07-27,6,47,Infectious,SHORT,0,,,,,No
AZTREONAM,AZACTAM | AZTREONAM | CAYSTON,FRESENIUS KABI USA LLC | GILEAD SCIENCES INC | HOSPIRA INC | LABORATOIRES DELBERT,2,2,050580 | 050814,065439 | 206517,FOR SOLUTION;INHALATION | INJECTABLE;INJECTION,AP,1986-12-31,2021-11-08,3,5,Other/Unclassified,OTHER,0,,,,,No
BACITRACIN ZINC; HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,"NEOMYCIN AND POLYMYXIN B SULFATES, BACITRACIN ZINC AND HYDROCORTISONE",BAUSCH AND LOMB INC,0,1,,064068,OINTMENT;OPHTHALMIC,,1995-10-30,1995-10-30,0,1,Metabolic,CHRONIC,0,,,,,No
BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,LUMI-SPORYN | NEOMYCIN AND POLYMYXIN B SULFATES AND BACITRACIN ZINC,BAUSCH AND LOMB INC | CASPER PHARMA LLC,1,1,050417,064064,OINTMENT;OPHTHALMIC,AT,1995-10-30,1995-10-30,1,1,Metabolic,CHRONIC,0,,,,,No
BACITRACIN ZINC; POLYMYXIN B SULFATE,BACITRACIN ZINC AND POLYMYXIN B SULFATE,BAUSCH AND LOMB INC,0,1,,064046,OINTMENT;OPHTHALMIC,,1995-01-26,1995-01-26,0,1,Metabolic,CHRONIC,0,,,,,No
BACLOFEN,BACLOFEN | FLEQSUVY | GABLOFEN | LIORESAL | OZOBAX DS,AMNEAL PHARMACEUTICALS LLC | ANDAS 5 HOLDING LLC | ANI PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | AZURITY PHARMACEUTICALS INC | HIBROW HEALTHCARE PRIVATE LTD | IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA | LANNETT CO INC | MAIA PHARMACEUTICALS INC | MANKIND PHARMA LTD | METACEL PHARMACEUTICALS LLC | MICRO LABS LTD | NORTHSTAR HEALTHCARE HOLDINGS LTD | OXFORD PHARMACEUTICALS LLC | PH HEALTH LTD | PHARMOBEDIENT CONSULTING LLC | PIRAMAL CRITICAL CARE INC | REGCON HOLDINGS LLC | RISING PHARMA HOLDINGS INC | RUBICON RESEARCH LTD | SOMERSET THERAPEUTICS LLC | UNICHEM LABORATORIES LTD | YILING PHARMACEUTICAL LTD | ZYDUS LIFESCIENCES GLOBAL FZE,4,28,020075 | 022462 | 208193 | 215602,072234 | 072235 | 074584 | 077068 | 077088 | 077241 | 078401 | 090334 | 091193 | 209102 | 209592 | 209594 | 210048 | 210315 | 210777 | 211555 | 211659 | 212067 | 212378 | 214099 | 214114 | 214374 | 214445 | 215885 | 217252 | 217324 | 217687 | 217788,INJECTABLE;INTRATHECAL | SOLUTION;ORAL | SUSPENSION;ORAL | TABLET;ORAL,AA | AB | AP,1988-07-21,2025-11-21,9,65,Neurology,CHRONIC,2,2037-09-29,2037,,,No
BALOXAVIR MARBOXIL,XOFLUZA,GENENTECH INC,2,0,210854 | 214410,,FOR SUSPENSION;ORAL | TABLET;ORAL,,2018-10-24,2025-05-30,5,0,Infectious,SHORT,10,2041-04-21,2041,M-187,2027-12-19,No
BALSALAZIDE DISODIUM,BALSALAZIDE DISODIUM | COLAZAL,APOTEX INC | CARNEGIE PHARMACEUTICALS LLC | HIKMA PHARMACEUTICALS USA INC | NOVITIUM PHARMA LLC | VALEANT PHARMACEUTICALS INTERNATIONAL | ZYDUS LIFESCIENCES GLOBAL FZE,1,5,020610,077806 | 077807 | 077883 | 217592 | 219422,CAPSULE;ORAL,AB,2000-07-18,2025-04-03,1,5,GI,CHRONIC,4,2027-02-24,2027,,,No
BARICITINIB,OLUMIANT,ELI LILLY AND CO | MSN LABORATORIES PRIVATE LTD,1,1,207924,217585,TABLET;ORAL,AB,2018-05-31,2025-08-08,3,3,Autoimmune,CHRONIC,6,2032-11-30,2032,,,No
BARIUM SULFATE,E-Z-DISK | E-Z-HD | E-Z-PAQUE | ENTERO VU 24% | LIQUID E-Z-PAQUE | READI-CAT 2 | READI-CAT 2 SMOOTHIE | TAGITOL V | VARIBAR HONEY | VARIBAR NECTAR | VARIBAR PUDDING | VARIBAR THIN HONEY | VARIBAR THIN LIQUID,BRACCO DIAGNOSTICS INC,4,0,208036 | 208143 | 208844 | 219840,,FOR SUSPENSION;ORAL | PASTE;ORAL | SUSPENSION;ORAL | TABLET;ORAL,,2016-01-11,2025-08-01,12,0,Other/Unclassified,OTHER,0,,,,,No
BAXDROSTAT,BAXFENDY,ASTRAZENECA AB,1,0,219878,,TABLET;ORAL,,2026-05-15,2026-05-15,2,0,Other/Unclassified,OTHER,1,2033-02-04,2033,NCE,2031-05-15,Yes
"BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED",DUAVEE,WYETH PHARMACEUTICALS LLC,1,0,022247,,TABLET;ORAL,,2013-10-03,2013-10-03,1,0,Metabolic,CHRONIC,1,2027-03-10,2027,,,No
BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE DIPROPIONATE | QNASL | QVAR REDIHALER,AMNEAL IRELAND LTD | NORTON WATERFORD LTD | TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,2,1,202813 | 207921,213811,"AEROSOL, METERED;INHALATION | AEROSOL, METERED;NASAL",,2012-03-23,2025-12-16,4,2,Respiratory,CHRONIC,18,2041-08-19,2041,,,No
BECLOMETHASONE DIPROPIONATE; FORMOTEROL FUMARATE; GLYCOPYRROLATE,TRIMBOW,CHIESI FARMACEUTICI SPA,1,0,219622,,"AEROSOL, METERED;INHALATION",,2026-05-14,2026-05-14,2,0,Respiratory,CHRONIC,0,,,,,No
BEDAQUILINE FUMARATE,SIRTURO,JANSSEN THERAPEUTICS DIV JANSSEN PRODUCTS LP,1,0,204384,,TABLET;ORAL,,2012-12-28,2020-05-27,2,0,Other/Unclassified,OTHER,2,2029-03-19,2029,M-306 | ODE* | ODE-251 | ODE-307,2027-06-21,No
BELINOSTAT,BELEODAQ,ACROTECH BIOPHARMA INC,1,0,206256,,POWDER;INTRAVENOUS,,2014-07-03,2014-07-03,1,0,Oncology,LONG-TERM,2,2027-10-27,2027,,,No
BELUMOSUDIL MESYLATE,REZUROCK,KADMON PHARMACEUTICALS LLC,1,0,214783,,TABLET;ORAL,,2021-07-16,2021-07-16,1,0,Other/Unclassified,OTHER,5,2042-07-14,2042,NCE | ODE-362,2028-07-16,Yes
BELZUTIFAN,WELIREG,MERCK SHARP AND DOHME CORP A SUB OF MERCK AND CO INC,1,0,215383,,TABLET;ORAL,,2021-08-13,2021-08-13,1,0,Other/Unclassified,OTHER,3,2042-06-30,2042,I-931 | I-968 | NCE | ODE-364,2028-08-13,Yes
BEMPEDOIC ACID,NEXLETOL,ESPERION THERAPEUTICS INC,1,0,211616,,TABLET;ORAL,,2020-02-21,2020-02-21,1,0,Other/Unclassified,OTHER,7,2040-06-19,2040,I-943 | I-944,2027-03-22,No
BEMPEDOIC ACID; EZETIMIBE,NEXLIZET,ESPERION THERAPEUTICS INC,1,0,211617,,TABLET;ORAL,,2020-02-26,2020-02-26,1,0,Metabolic,CHRONIC,8,2040-06-19,2040,I-943 | I-945,2027-03-22,No
BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE | LOTENSIN,AMNEAL PHARMACEUTICALS OF NEW YORK LLC | ANI PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | COREPHARMA LLC | HERITAGE PHARMA LABS INC | PRINSTON PHARMACEUTICAL INC | SUN PHARMACEUTICAL INDUSTRIES LTD | TEVA PHARMACEUTICALS USA INC | VALIDUS PHARMACEUTICALS LLC | ZYDUS LIFESCIENCES LTD,1,10,019851,076118 | 076211 | 076267 | 076333 | 076344 | 076402 | 076820 | 077128 | 078212 | 078848,TABLET;ORAL,AB,1991-06-25,2008-05-23,3,39,Cardiovascular,CHRONIC,0,,,,,No
BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE | LOTENSIN HCT,ANI PHARMACEUTICALS INC | SANDOZ INC | VALIDUS PHARMACEUTICALS LLC,1,2,020033,076342 | 076631,TABLET;ORAL,AB,1992-05-19,2004-02-11,3,8,Cardiovascular,CHRONIC,0,,,,,No
BENDAMUSTINE HYDROCHLORIDE,BELRAPZO | BENDAMUSTINE HYDROCHLORIDE | BENDEKA | TREANDA | VIVIMUSTA,ACCORD HEALTHCARE INC | APOTEX INC | AVYXA HOLDINGS LLC | AZURITY PHARMACEUTICALS INC | BAXTER HEALTHCARE CORP | CEPHALON INC | DR REDDYS LABORATORIES LTD | EAGLE PHARMACEUTICALS INC | EUGIA PHARMA SPECIALITIES LTD | MEITHEAL PHARMACEUTICALS INC,7,4,022249 | 205580 | 208194 | 212209 | 215033 | 216078 | 219014,205376 | 205574 | 211001 | 214739,POWDER;INTRAVENOUS | SOLUTION;INTRAVENOUS,AP,2008-03-20,2025-07-03,8,8,Oncology,LONG-TERM,39,2042-07-29,2042,,,No
BENOXINATE HYDROCHLORIDE; FLUORESCEIN SODIUM,ALTAFLUOR BENOX | FLUORESCEIN SODIUM AND BENOXINATE HYDROCHLORIDE,ALTAIRE PHARMACEUTICALS INC | BAUSCH AND LOMB IRELAND LTD,2,0,208582 | 211039,,SOLUTION/DROPS;OPHTHALMIC,,2017-12-14,2020-03-09,2,0,Other/Unclassified,OTHER,3,2037-11-15,2037,,,No
BENTOQUATAM,IVY BLOCK,STANDARD HOMEOPATHIC CO,1,0,020532,,LOTION;TOPICAL,,1996-08-26,1996-08-26,1,0,Other/Unclassified,OTHER,0,,,,,No
BENZGALANTAMINE GLUCONATE,ZUNVEYL,ALPHA COGNITION INC,1,0,218549,,"TABLET, DELAYED RELEASE;ORAL",,2024-07-26,2024-07-26,3,0,Neurology,CHRONIC,4,2045-07-23,2045,,,No
BENZNIDAZOLE,BENZNIDAZOLE,CHEMO RESEARCH SL,1,0,209570,,TABLET;ORAL,,2017-08-29,2017-08-29,2,0,Other/Unclassified,OTHER,0,,,,,No
BENZONATATE,BENZONATATE | TESSALON,ASCENT PHARMACEUTICALS INC | BIONPHARMA INC | CSPC-NBP PHARMACEUTICAL CO LTD | HERITAGE PHARMACEUTICALS LABS INC DBA AVET PHARMACEUTICALS LABS INC | MARKSANS PHARMA LTD | ONESOURCE SPECIALTY PTE LTD | PFIZER INC | PURACAP PHARMACEUTICAL LLC | THEPHARMANETWORK LLC | ZYDUS PHARMACEUTICALS USA INC,1,9,011210,040597 | 040627 | 040682 | 081297 | 091133 | 202765 | 206948 | 211518 | 220298,CAPSULE;ORAL,AA,1993-01-29,2026-03-30,1,20,Respiratory,SHORT,0,,,,,No
BENZOYL PEROXIDE,EPSOLAY,MAYNE PHARMA LLC,1,0,214510,,CREAM;TOPICAL,,2022-04-22,2022-04-22,1,0,Dermatology,CHRONIC,14,2041-05-23,2041,,,No
BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,ACANYA | CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE | DUAC | ONEXTON,ACTAVIS LABORATORIES UT INC | BAUSCH HEALTH AMERICAS INC | ENCUBE ETHICALS PRIVATE LTD | GLENMARK SPECIALTY SA | MYLAN PHARMACEUTICALS INC | PADAGIS ISRAEL PHARMACEUTICALS LTD | STIEFEL LABORATORIES INC | SUN PHARMA CANADA INC | ZYDUS PHARMACEUTICALS USA INC,2,15,050741 | 050819,065443 | 090979 | 202440 | 204087 | 205128 | 205397 | 206218 | 206575 | 207194 | 208683 | 208776 | 209252 | 209610 | 210794 | 212433,GEL;TOPICAL,AB,2002-08-26,2024-08-20,3,15,Dermatology,CHRONIC,9,2029-08-05,2029,,,No
BENZOYL PEROXIDE; ERYTHROMYCIN,BENZAMYCIN | ERYTHROMYCIN AND BENZOYL PEROXIDE,RISING PHARMA HOLDINGS INC | VALEANT INTERNATIONAL SRL,1,1,050557,065385,GEL;TOPICAL,AB,1984-10-26,2015-09-18,1,1,Dermatology,CHRONIC,0,,,,,No
BENZOYL PEROXIDE; TRETINOIN,TWYNEO,MAYNE PHARMA LLC,1,0,214902,,CREAM;TOPICAL,,2021-07-26,2021-07-26,1,0,Dermatology,CHRONIC,13,2041-05-23,2041,,,No
BENZPHETAMINE HYDROCHLORIDE,BENZPHETAMINE HYDROCHLORIDE,CHARTWELL SCHEDULED LLC | EPIC PHARMA LLC | KVK TECH INC,0,3,,090346 | 090473 | 090968,TABLET;ORAL,AA,2010-07-20,2015-12-15,0,4,Other/Unclassified,OTHER,0,,,,,No
BENZTROPINE MESYLATE,BENZTROPINE MESYLATE,AIPING PHARMACEUTICAL INC | CHARTWELL RX SCIENCES LLC | EPIC PHARMA LLC | FRESENIUS KABI USA LLC | HIKMA FARMACEUTICA (PORTUGAL) SA | HIKMA FARMACEUTICA PORTUGAL SA | LEADING PHARMA LLC | NAVINTA LLC | NUVO PHARMACEUTICAL INC | PH HEALTH LTD | PLIVA INC | QUAGEN PHARMACEUTICALS LLC,0,16,,040103 | 040715 | 072264 | 072265 | 072266 | 081265 | 089058 | 089059 | 089060 | 090168 | 090233 | 090287 | 091525 | 204713 | 209442 | 212694,INJECTABLE;INJECTION | TABLET;ORAL,AA | AP,1988-08-10,2025-02-11,0,28,Neurology,CHRONIC,0,,,,,No
BEPOTASTINE BESILATE,BEPOTASTINE BESILATE | BEPREVE,ALEMBIC PHARMACEUTICALS LTD | BAUSCH AND LOMB INC | MYLAN PHARMACEUTICALS INC | SOMERSET THERAPEUTICS LLC,1,3,022288,206220 | 214588 | 217770,SOLUTION/DROPS;OPHTHALMIC,AT,2009-09-08,2024-08-14,1,3,Ophthalmology,PERIODIC,0,,,,,No
BERDAZIMER SODIUM,ZELSUVMI,LNHC INC,1,0,217424,,GEL;TOPICAL,,2024-01-05,2024-01-05,1,0,Other/Unclassified,OTHER,14,2035-07-10,2035,NCE,2029-01-05,Yes
BEROTRALSTAT DIHYDROCHLORIDE,ORLADEYO,BIOCRYST PHARMACEUTICALS INC,2,0,214094 | 219776,,CAPSULE;ORAL | PELLETS;ORAL,,2020-12-03,2025-12-11,6,0,Other/Unclassified,OTHER,32,2040-05-01,2040,NP | ODE-333 | PED,2029-06-11,Yes
BESIFLOXACIN HYDROCHLORIDE,BESIVANCE,BAUSCH AND LOMB INC,1,0,022308,,SUSPENSION/DROPS;OPHTHALMIC,,2009-05-28,2009-05-28,1,0,Infectious,SHORT,4,2031-01-09,2031,,,No
BETAINE,BETAINE | CYSTADANE,ETON PHARMACEUTICALS INC | NOVITIUM PHARMA LLC | RECORDATI RARE DISEASES INC,1,2,020576,210508 | 214864,FOR SOLUTION;ORAL,AB,1996-10-25,2022-01-28,1,2,Other/Unclassified,OTHER,0,,,,,No
BETAMETHASONE ACETATE; BETAMETHASONE SODIUM PHOSPHATE,BETAMETHASONE ACETATE AND BETAMETHASONE SODIUM PHOSPHATE | CELESTONE SOLUSPAN,AMERICAN REGENT INC | HIKMA FARMACEUTICA PORTUGAL SA | ORGANON LLC A SUB OF ORGANON AND CO,1,2,014602,077838 | 090747,INJECTABLE;INJECTION,AB,2009-07-31,2023-01-17,1,2,Dermatology,CHRONIC,0,,,,,No
BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE | DIPROLENE | SERNIVO,ACTAVIS MID ATLANTIC LLC | AUROBINDO PHARMA LTD | COSETTE PHARMACEUTICALS NC LABORATORIES LLC | ENCUBE ETHICALS PRIVATE LTD | FOUGERA PHARMACEUTICALS INC | LUPIN LTD | ORGANON LLC A SUB OF ORGANON AND CO | PADAGIS ISRAEL PHARMACEUTICALS LTD | PADAGIS US LLC | PRIMUS PHARMACEUTICALS INC | SUN PHARMA CANADA INC | TP ANDA HOLDINGS LLC | ZYDUS LIFESCIENCES LTD | ZYDUS PHARMACEUTICALS USA INC,4,24,018741 | 019137 | 019141 | 208079,070275 | 070885 | 071012 | 071467 | 072538 | 073552 | 074304 | 075276 | 075373 | 076215 | 076508 | 076543 | 076592 | 077111 | 077477 | 206389 | 208885 | 209106 | 210217 | 214048 | 215186 | 215847 | 218289 | 219348,"CREAM, AUGMENTED;TOPICAL | CREAM;TOPICAL | GEL, AUGMENTED;TOPICAL | LOTION, AUGMENTED;TOPICAL | LOTION;TOPICAL | OINTMENT, AUGMENTED;TOPICAL | OINTMENT;TOPICAL | SPRAY;TOPICAL",AB,1983-07-27,2026-01-26,4,24,Dermatology,CHRONIC,7,2030-08-31,2030,,,No
BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,CALCIPOTRIENE AND BETAMETHASONE DIPROPIONATE | ENSTILAR | TACLONEX | WYNZORA,COSETTE PHARMACEUTICALS NC LABORATORIES LLC | LEO PHARMA AS | MC2 THERAPEUTICS LTD | PADAGIS ISRAEL PHARMACEUTICALS LTD | SUN PHARMA CANADA INC,4,3,021852 | 022185 | 207589 | 213422,200174 | 210765 | 213269,"AEROSOL, FOAM;TOPICAL | CREAM;TOPICAL | OINTMENT;TOPICAL | SUSPENSION;TOPICAL",AB,2006-01-09,2020-09-02,4,3,Dermatology,CHRONIC,13,2039-03-18,2039,,,No
BETAMETHASONE DIPROPIONATE; CLOTRIMAZOLE,CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE,ACTAVIS MID ATLANTIC LLC | FOUGERA PHARMACEUTICALS INC | SUN PHARMA CANADA INC | TARO PHARMACEUTICAL INDUSTRIES LTD,0,5,,075502 | 075673 | 076002 | 076493 | 076516,CREAM;TOPICAL | LOTION;TOPICAL,AB,2001-05-29,2005-06-16,0,5,Dermatology,CHRONIC,0,,,,,No
BETAMETHASONE VALERATE,BETA-VAL | BETAMETHASONE VALERATE | DERMABET | VALNAC,ACTAVIS MID ATLANTIC LLC | ALEMBIC PHARMACEUTICALS LTD | COSETTE PHARMACEUTICALS NC LABORATORIES LLC | FOUGERA PHARMACEUTICALS INC | PADAGIS ISRAEL PHARMACEUTICALS LTD | SENORES PHARMACEUTICALS INC | SUN PHARMA CANADA INC | TARO PHARMACEUTICAL INDUSTRIES LTD | XIROMED PHARMA ESPANA SL,4,9,018642 | 018861 | 018865 | 018866,070050 | 070051 | 070052 | 070069 | 072041 | 078337 | 208204 | 210639 | 215832,"AEROSOL, FOAM;TOPICAL | CREAM;TOPICAL | LOTION;TOPICAL | OINTMENT;TOPICAL",AB,1983-03-24,2024-08-22,3,9,Dermatology,CHRONIC,0,,,,,No
BETAXOLOL HYDROCHLORIDE,BETAXOLOL HYDROCHLORIDE | BETOPTIC | BETOPTIC S,CHARTWELL RX SCIENCES LLC | EPIC PHARMA LLC | EUROFARMA INC | KVK TECH INC | NOVARTIS PHARMACEUTICALS CORP | SANDOZ INC,2,4,019270 | 019845,075541 | 075630 | 078694 | 078962,SOLUTION/DROPS;OPHTHALMIC | SUSPENSION/DROPS;OPHTHALMIC | TABLET;ORAL,AB | AT,1985-08-30,2009-11-16,2,6,Cardiovascular,CHRONIC,0,,,,,No
BETHANECHOL CHLORIDE,BETHANECHOL CHLORIDE | DUVOID,AMNEAL PHARMACEUTICAL | CHARTWELL RX SCIENCES LLC | HERITAGE PHARMA LABS INC | UPSHER SMITH LABORATORIES LLC,0,10,,040633 | 040634 | 040635 | 040636 | 040728 | 040855 | 085882 | 086262 | 086263 | 091256,TABLET;ORAL,AA,2005-06-01,2010-05-04,0,19,GI,CHRONIC,0,,,,,No
BEXAGLIFLOZIN,BRENZAVVY,THERACOSBIO LLC,1,0,214373,,TABLET;ORAL,,2023-01-20,2023-01-20,1,0,Metabolic,CHRONIC,7,2041-10-05,2041,NCE,2028-01-20,Yes
BEXAROTENE,BEXAROTENE | TARGRETIN,AMNEAL PHARMACEUTICALS LLC | AMNEAL PHARMACEUTICALS OF NY LLC | ANI PHARMACEUTICALS INC | ASCENT PHARMACEUTICALS INC | BAUSCH HEALTH IRELAND LTD | BIONPHARMA INC | HIKMA PHARMACEUTICALS USA INC | TEVA PHARMACEUTICALS USA | UPSHER SMITH LABORATORIES LLC,2,8,021055 | 021056,203174 | 203663 | 208628 | 209861 | 209886 | 209931 | 210105 | 215398,CAPSULE;ORAL | GEL;TOPICAL,AB,1999-12-29,2024-09-06,2,8,Oncology,LONG-TERM,0,,,,,No
BICALUTAMIDE,BICALUTAMIDE | CASODEX,ACCORD HEALTHCARE INC | ADAPTIS PHARMA PRIVATE LTD | ANI PHARMACEUTICALS INC | CHARTWELL RX SCIENCES LLC | SANDOZ INC | SUN PHARMACEUTICAL INDUSTRIES LTD | WATSON LABORATORIES INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,1,6,020498,078575 | 078634 | 078917 | 079089 | 079110 | 091011,TABLET;ORAL,AB,1995-10-04,2015-06-10,1,6,Oncology,LONG-TERM,0,,,,,No
BICTEGRAVIR SODIUM; EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE,BIKTARVY,GILEAD SCIENCES INC,1,0,210251,,TABLET;ORAL,,2018-02-07,2021-10-07,2,0,Infectious,CHRONIC,11,2036-11-08,2036,I-942 | M-305 | ODE-378 | ODE-468 | ODE-540,2032-07-30,No
BIMATOPROST,BIMATOPROST | DURYSTA | LATISSE | LUMIGAN | ZOLYMBUS,ABBVIE INC | ALEMBIC PHARMACEUTICALS LTD | AMNEAL EU LTD | APOTEX INC | EUGIA PHARMA SPECIALITIES LTD | GLAND PHARMA LTD | MANKIND PHARMA LTD | MICRO LABS LTD | SANDOZ INC | SOMERSET THERAPEUTICS LLC | THEA PHARMA INC,4,11,022184 | 022369 | 211911 | 217307,090449 | 202505 | 202565 | 202719 | 205537 | 207601 | 210126 | 210263 | 210515 | 217289 | 218196,GEL;OPHTHALMIC | IMPLANT;OPHTHALMIC | SOLUTION/DROPS;OPHTHALMIC | SOLUTION/DROPS;TOPICAL,AB | AT,2008-12-24,2025-09-22,4,11,Ophthalmology,CHRONIC,9,2036-06-08,2036,NDF,2028-09-09,No
BINIMETINIB,MEKTOVI,ARRAY BIOPHARMA INC,1,0,210498,,TABLET;ORAL,,2018-06-27,2018-06-27,1,0,Oncology,LONG-TERM,7,2033-10-18,2033,I-928,2026-10-11,No
BIRCH TRITERPENES,FILSUVEZ,CHIESI FARMACEUTICI SPA,1,0,215064,,GEL;TOPICAL,,2023-12-18,2023-12-18,1,0,Other/Unclassified,OTHER,6,2039-01-04,2039,NCE | ODE-460,2030-12-18,Yes
